year,region,New dwellings,Average advance (new),Average income (new),Other dwellings,Average advance (other),Average income (other),All dwellings,Average advance (all),Average income (all)
2006.0,South East,270500.0,173500.0,62750.0,256250.0,165750.0,58750.0,257000.0,166250.0,58750.0
2006.0,South West,217000.0,139000.0,51000.0,213500.0,136500.0,49500.0,213500.0,136500.0,49250.0
2006.0,United Kingdom,221750.0,146750.0,54500.0,204000.0,138250.0,50750.0,204500.0,138500.0,50750.0
2006.0,Wales,201500.0,131250.0,52500.0,155500.0,105750.0,40750.0,157500.0,106750.0,41750.0
2006.0,West Midlands,199750.0,136000.0,49500.0,176000.0,120250.0,44000.0,177000.0,120750.0,44250.0
2006.0,Yorkshire and the Humber,196000.0,134250.0,49000.0,156500.0,109250.0,41500.0,158500.0,110500.0,41750.0
2007.0,East Midlands,196000.0,131500.0,49250.0,174750.0,120500.0,44000.0,176250.0,121250.0,44500.0
2007.0,East of England,235500.0,154500.0,56250.0,238000.0,156000.0,55000.0,238250.0,156000.0,55250.0
2007.0,London,265000.0,169000.0,60250.0,346750.0,240000.0,82750.0,342250.0,236250.0,81500.0
2007.0,North East,194250.0,136000.0,49750.0,149500.0,107250.0,40750.0,152250.0,109000.0,41000.0
2007.0,North West,199750.0,140750.0,51750.0,168500.0,119500.0,43750.0,169750.0,120750.0,44250.0
2007.0,Northern Ireland,278500.0,146500.0,52500.0,220500.0,129000.0,45500.0,229500.0,132000.0,46500.0
2007.0,Scotland,208250.0,143000.0,52000.0,154000.0,110750.0,42000.0,159000.0,113750.0,43000.0
2007.0,South East,261000.0,170000.0,62000.0,279250.0,179750.0,62250.0,278000.0,179250.0,62250.0
2007.0,South West,218750.0,140000.0,51250.0,231750.0,146750.0,52500.0,231000.0,146500.0,52250.0
2007.0,United Kingdom,224500.0,147750.0,53500.0,223250.0,150500.0,53750.0,223500.0,150250.0,53750.0
2007.0,Wales,203250.0,134750.0,49500.0,167250.0,113750.0,42750.0,169750.0,115250.0,43750.0
2007.0,West Midlands,197000.0,134750.0,46500.0,184250.0,126500.0,45000.0,185000.0,127000.0,45250.0
2007.0,Yorkshire and the Humber,197500.0,135750.0,47750.0,168250.0,117000.0,43250.0,170000.0,118500.0,43500.0
2008.0,East Midlands,188500.0,126000.0,46500.0,176000.0,116750.0,45500.0,177000.0,117500.0,45500.0
2008.0,East of England,222750.0,141250.0,51000.0,246000.0,153500.0,57000.0,244500.0,152750.0,56250.0
2008.0,London,264000.0,161250.0,61250.0,356500.0,228000.0,83000.0,351500.0,224000.0,81500.0
2008.0,North East,198000.0,134500.0,50000.0,155500.0,106250.0,42750.0,158500.0,108500.0,43000.0
2008.0,North West,198750.0,132250.0,50250.0,173250.0,117250.0,45750.0,175000.0,118000.0,46000.0
2008.0,Northern Ireland,253250.0,136500.0,49750.0,208750.0,122500.0,46000.0,218250.0,125250.0,47000.0
2008.0,Scotland,222500.0,140500.0,53000.0,163250.0,111250.0,44500.0,168500.0,113750.0,44750.0
2008.0,South East,253250.0,159250.0,59000.0,287750.0,176000.0,63000.0,285250.0,174750.0,62750.0
2008.0,South West,208750.0,132750.0,51500.0,232250.0,141000.0,52500.0,230000.0,140250.0,52250.0
2008.0,United Kingdom,221250.0,140000.0,52250.0,228250.0,146250.0,54750.0,227500.0,145750.0,54750.0
2008.0,Wales,202750.0,129250.0,47750.0,167250.0,111000.0,44500.0,170000.0,112000.0,44500.0
2008.0,West Midlands,189500.0,123250.0,45500.0,185000.0,121750.0,45750.0,185250.0,121750.0,46000.0
2008.0,Yorkshire and the Humber,200750.0,133500.0,50000.0,171000.0,114750.0,44750.0,173000.0,116750.0,45000.0
2009.0,East Midlands,171250.0,109500.0,44750.0,172500.0,108750.0,45000.0,172500.0,108750.0,45000.0
2009.0,East of England,211500.0,129750.0,50000.0,235000.0,141250.0,55000.0,233500.0,140750.0,54250.0
2009.0,London,221750.0,129000.0,56500.0,344500.0,203500.0,76000.0,338000.0,199500.0,75000.0
2009.0,North East,180000.0,123250.0,47000.0,154750.0,100250.0,44000.0,157000.0,101750.0,44250.0
2009.0,North West,175500.0,115000.0,46000.0,174000.0,111250.0,46750.0,174250.0,111500.0,46750.0
2009.0,Northern Ireland,212000.0,120250.0,47750.0,177500.0,110250.0,43500.0,184750.0,112500.0,44250.0
2009.0,Scotland,202000.0,126250.0,50750.0,171250.0,110000.0,47500.0,174250.0,111750.0,47750.0
2009.0,South East,229500.0,140750.0,54250.0,276500.0,162750.0,61000.0,274000.0,161500.0,60500.0
2009.0,South West,195750.0,121250.0,47500.0,222250.0,129750.0,50750.0,220250.0,129250.0,50500.0
2009.0,United Kingdom,199000.0,123750.0,49250.0,228250.0,138000.0,54250.0,226000.0,137000.0,54250.0
2009.0,Wales,170750.0,110500.0,42500.0,165250.0,103500.0,43500.0,165500.0,103750.0,43500.0
2009.0,West Midlands,181250.0,114750.0,45250.0,185000.0,115000.0,46750.0,185250.0,115000.0,46750.0
2009.0,Yorkshire and the Humber,181250.0,117250.0,46000.0,176000.0,110250.0,45750.0,175750.0,111000.0,45750.0
2010.0,East Midlands,174500.0,113000.0,45250.0,185500.0,117000.0,47250.0,184750.0,116500.0,47000.0
2010.0,East of England,229000.0,139000.0,52250.0,264000.0,158750.0,59000.0,261250.0,157750.0,58750.0
2010.0,London,255750.0,140250.0,61500.0,390750.0,230500.0,83750.0,384500.0,226750.0,82500.0
